no,title,image,ad,year,month,day,display
16,Gutenberg prints the 42-line Bible,https://upload.wikimedia.org/wikipedia/commons/5/5f/Gutenberg_Bible%2C_42-line%2C_Mainz%2C_c._1455%2C_Martin_Bodmer_Foundation%2C_Cologny.jpg,TRUE,1455,1,1,1455
17,Martin Luther posts the Ninety-Five Theses,https://upload.wikimedia.org/wikipedia/commons/9/90/Luther95theses.jpg,TRUE,1517,10,31,31st Oct 1517
18,Spanish Armada is defeated,https://upload.wikimedia.org/wikipedia/commons/3/32/Defeat_of_the_Spanish_Armada_8_August_1588.jpg,TRUE,1588,8,8,8th Aug 1588
19,The United States Declaration of Independence,https://upload.wikimedia.org/wikipedia/commons/0/0d/Us_declaration_independence.jpg,TRUE,1776,7,4,4th July 1776
20,French Revolution begins with the storming of the Bastille,https://upload.wikimedia.org/wikipedia/commons/1/1d/Prise_de_la_Bastille.jpg,TRUE,1789,7,14,14th July 1789
21,Battle of Waterloo,https://upload.wikimedia.org/wikipedia/commons/5/50/Battle_of_Waterloo_1815.PNG,TRUE,1815,6,18,18th June 1815
22,American Civil War begins,https://upload.wikimedia.org/wikipedia/commons/5/5f/Bombardment_of_Fort_Sumter.jpg,TRUE,1861,4,12,12th April 1861
23,Telephone patented by Alexander Graham Bell,https://upload.wikimedia.org/wikipedia/commons/6/6f/Alexander_Graham_Bell.jpg,TRUE,1876,3,7,7th March 1876
24,World War I begins,https://upload.wikimedia.org/wikipedia/commons/3/3f/Ferdinand_Schmutzer_-_Kaiser_Wilhelm_II.jpg,TRUE,1914,7,28,28th July 1914
25,Women gain voting rights in the United States,https://upload.wikimedia.org/wikipedia/commons/9/90/Suffragists_Parade_Down_Fifth_Avenue_1917.jpg,TRUE,1920,8,18,18th Aug 1920
26,Stock Market Crash triggers the Great Depression,https://upload.wikimedia.org/wikipedia/commons/4/4f/Crowd_outside_NYSE_1929.jpg,TRUE,1929,10,29,29th Oct 1929
27,World War II ends in Europe,https://upload.wikimedia.org/wikipedia/commons/d/d5/Celebration_in_Paris_1944.jpg,TRUE,1945,5,8,8th May 1945
28,India gains independence,https://upload.wikimedia.org/wikipedia/commons/1/1c/Indian_Independence_Day_1947.jpg,TRUE,1947,8,15,15th Aug 1947
29,UN adopts the Universal Declaration of Human Rights,https://upload.wikimedia.org/wikipedia/commons/8/8f/Eleanor_Roosevelt_UDHR.jpg,TRUE,1948,12,10,10th Dec 1948
30,First successful ascent of Mount Everest,https://upload.wikimedia.org/wikipedia/commons/2/2f/Everest_kalapatthar_crop.jpg,TRUE,1953,5,29,29th May 1953
31,Berlin Wall is constructed,https://upload.wikimedia.org/wikipedia/commons/4/42/Berlinermauer.jpg,TRUE,1961,8,13,13th Aug 1961
32,Human Genome Project is completed,https://upload.wikimedia.org/wikipedia/commons/8/87/DNA_Overview2.png,TRUE,2003,4,14,14th April 2003
33,Smartphone era begins with first iPhone launch,https://upload.wikimedia.org/wikipedia/commons/f/fa/IPhone_first_gen.svg,TRUE,2007,6,29,29th June 2007
34,WHO declares COVID-19 a global pandemic,https://upload.wikimedia.org/wikipedia/commons/3/3f/2019-nCoV-CDC-23312_without_background.png,TRUE,2020,3,11,11th March 2020
